scenario=phase01-final-tracking
timestamp_utc=20260620T190834Z
duration_seconds=600
sample_seconds=5
nano_cpus=3000000000 memory=4294967296 oom_killed=false
cgroup_start
usage_usec 66804879
user_usec 58669314
system_usec 8135565
nice_usec 988
core_sched.force_idle_usec 0
nr_periods 418
nr_throttled 190
throttled_usec 14520517
nr_bursts 0
burst_usec 0
176099328
177917952
low 0
high 0
max 0
oom 0
oom_kill 0
oom_group_kill 0
sock_throttled 0
samples_begin
sample_utc=2026-06-20T19:08:34Z	cpu=159.09%	memory=118MB / 4.295GB
sample_utc=2026-06-20T19:08:39Z	cpu=174.20%	memory=117.2MB / 4.295GB
sample_utc=2026-06-20T19:08:44Z	cpu=186.41%	memory=139.2MB / 4.295GB
sample_utc=2026-06-20T19:08:49Z	cpu=196.49%	memory=117.1MB / 4.295GB
sample_utc=2026-06-20T19:08:54Z	cpu=204.79%	memory=146.2MB / 4.295GB
sample_utc=2026-06-20T19:08:59Z	cpu=212.03%	memory=152.7MB / 4.295GB
sample_utc=2026-06-20T19:09:04Z	cpu=218.07%	memory=131.6MB / 4.295GB
sample_utc=2026-06-20T19:09:09Z	cpu=223.48%	memory=159.8MB / 4.295GB
sample_utc=2026-06-20T19:09:14Z	cpu=228.11%	memory=118.4MB / 4.295GB
sample_utc=2026-06-20T19:09:19Z	cpu=232.29%	memory=118.3MB / 4.295GB
sample_utc=2026-06-20T19:09:24Z	cpu=235.98%	memory=118.5MB / 4.295GB
sample_utc=2026-06-20T19:09:29Z	cpu=239.31%	memory=158.9MB / 4.295GB
sample_utc=2026-06-20T19:09:34Z	cpu=242.27%	memory=121.1MB / 4.295GB
sample_utc=2026-06-20T19:09:39Z	cpu=244.98%	memory=118.5MB / 4.295GB
sample_utc=2026-06-20T19:09:44Z	cpu=247.44%	memory=158.9MB / 4.295GB
sample_utc=2026-06-20T19:09:49Z	cpu=249.71%	memory=118.9MB / 4.295GB
sample_utc=2026-06-20T19:09:55Z	cpu=251.79%	memory=118.9MB / 4.295GB
sample_utc=2026-06-20T19:10:00Z	cpu=253.66%	memory=147.1MB / 4.295GB
sample_utc=2026-06-20T19:10:05Z	cpu=255.44%	memory=159.6MB / 4.295GB
sample_utc=2026-06-20T19:10:10Z	cpu=257.04%	memory=145.2MB / 4.295GB
sample_utc=2026-06-20T19:10:15Z	cpu=258.58%	memory=132.2MB / 4.295GB
sample_utc=2026-06-20T19:10:20Z	cpu=259.98%	memory=149.3MB / 4.295GB
sample_utc=2026-06-20T19:10:25Z	cpu=261.31%	memory=159.9MB / 4.295GB
sample_utc=2026-06-20T19:10:30Z	cpu=262.53%	memory=132.3MB / 4.295GB
sample_utc=2026-06-20T19:10:35Z	cpu=263.71%	memory=132.5MB / 4.295GB
sample_utc=2026-06-20T19:10:40Z	cpu=264.77%	memory=160.4MB / 4.295GB
sample_utc=2026-06-20T19:10:45Z	cpu=265.82%	memory=132.3MB / 4.295GB
sample_utc=2026-06-20T19:10:50Z	cpu=266.79%	memory=118.6MB / 4.295GB
sample_utc=2026-06-20T19:10:55Z	cpu=267.69%	memory=119.4MB / 4.295GB
sample_utc=2026-06-20T19:11:00Z	cpu=268.57%	memory=119.7MB / 4.295GB
sample_utc=2026-06-20T19:11:05Z	cpu=269.38%	memory=119.5MB / 4.295GB
sample_utc=2026-06-20T19:11:10Z	cpu=270.17%	memory=119.1MB / 4.295GB
